action.effector.index,action.effector.position[0],action.effector.position[1],action.end.orientation[0],action.end.orientation[1],action.end.orientation[2],action.end.orientation[3],action.end.orientation[4],action.end.orientation[5],action.end.orientation[6],action.end.orientation[7],action.end.position[0],action.end.position[1],action.end.position[2],action.end.position[3],action.end.position[4],action.end.position[5],action.head.index,action.head.position[0],action.head.position[1],action.joint.position[0],action.joint.position[1],action.joint.position[2],action.joint.position[3],action.joint.position[4],action.joint.position[5],action.joint.position[6],action.joint.position[7],action.joint.position[8],action.joint.position[9],action.joint.position[10],action.joint.position[11],action.joint.position[12],action.joint.position[13],action.robot.index,action.robot.velocity[0],action.robot.velocity[1],action.waist.index,action.waist.position[0],action.waist.position[1],state.effector.position[0],state.effector.position[1],state.end.orientation[0],state.end.orientation[1],state.end.orientation[2],state.end.orientation[3],state.end.orientation[4],state.end.orientation[5],state.end.orientation[6],state.end.orientation[7],state.end.position[0],state.end.position[1],state.end.position[2],state.end.position[3],state.end.position[4],state.end.position[5],state.head.position[0],state.head.position[1],state.joint.current_value[0],state.joint.current_value[1],state.joint.current_value[2],state.joint.current_value[3],state.joint.current_value[4],state.joint.current_value[5],state.joint.current_value[6],state.joint.current_value[7],state.joint.current_value[8],state.joint.current_value[9],state.joint.current_value[10],state.joint.current_value[11],state.joint.current_value[12],state.joint.current_value[13],state.joint.position[0],state.joint.position[1],state.joint.position[2],state.joint.position[3],state.joint.position[4],state.joint.position[5],state.joint.position[6],state.joint.position[7],state.joint.position[8],state.joint.position[9],state.joint.position[10],state.joint.position[11],state.joint.position[12],state.joint.position[13],state.robot.orientation[0],state.robot.orientation[1],state.robot.orientation[2],state.robot.orientation[3],state.robot.position[0],state.robot.position[1],state.robot.position[2],state.waist.position[0],state.waist.position[1],timestamp
0.0,0.0,0.0,-0.04598972556874215,0.7400859993654391,-0.66566819045129,0.08392567489556862,-0.7401376218953788,0.045722612716058715,-0.08380284856122859,0.6656446694104111,0.5892947415148676,0.30014488202582024,0.7820528949944057,0.5891597448539504,-0.302014200376563,0.7819346515469058,0.0,-2.6631610446506076e-06,0.3839745594177246,-1.0736985206604004,0.6118144392967224,0.27902549505233765,-1.2824703454971313,0.7293052673339844,1.4944528341293335,-0.18811099231243134,1.0731401443481445,-0.6118667721748352,-0.2792872488498688,1.283499836921692,-0.7291831374168396,-1.493929386138916,0.18781433999538422,0.0,0.0,0.0,0.0,0.5235990830818403,0.26967338562011717,34.93333333333333,34.93333333333333,-0.04598972556874215,0.7400859993654391,-0.66566819045129,0.08392567489556862,-0.7401376218953788,0.045722612716058715,-0.08380284856122859,0.6656446694104111,0.5892947415148676,0.30014488202582024,0.7820528949944057,0.5891597448539504,-0.302014200376563,0.7819346515469058,-2.6631610446506076e-06,0.3839745594177246,-1620.0,-591.0,-2552.0,-1039.0,-892.0,-511.0,-3.0,1593.0,1018.0,2028.0,642.0,1553.0,193.0,9.0,-1.0736985206604004,0.6118144392967224,0.27902549505233765,-1.2824703454971313,0.7293052673339844,1.4944528341293335,-0.18811099231243134,1.0731401443481445,-0.6118667721748352,-0.2792872488498688,1.283499836921692,-0.7291831374168396,-1.493929386138916,0.18781433999538422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.26967338562011717,1.735214676537523e+18
1.0,0.0,0.0,-0.04599393195563662,0.7401049771984456,-0.6656487635824819,0.08391009766686063,-0.7401581633866068,0.04573462539751379,-0.08380743370615786,0.6656204258190274,0.5892940249835373,0.3001370541090874,0.7820365363147987,0.5891588397714362,-0.30202775374525426,0.7819287650712544,1.0,-2.6631610446506076e-06,0.3839798857398139,-1.0736985206604004,0.6118144392967224,0.2790778577327728,-1.2824877500534058,0.7293401956558228,1.494435429573059,-0.18811099231243134,1.0731401443481445,-0.6118319034576416,-0.2792872488498688,1.2834824323654175,-0.729218065738678,-1.4939467906951904,0.18781433999538422,1.0,0.0,0.0,1.0,0.5235990830818403,0.2696733093261719,34.93333333333333,34.93333333333333,-0.04599393195563662,0.7401049771984456,-0.6656487635824819,0.08391009766686063,-0.7401581633866068,0.04573462539751379,-0.08380743370615786,0.6656204258190274,0.5892940249835373,0.3001370541090874,0.7820365363147987,0.5891588397714362,-0.30202775374525426,0.7819287650712544,-2.6631610446506076e-06,0.3839798857398139,-1626.0,-590.0,-2553.0,-1030.0,-892.0,-509.0,0.0,1587.0,1013.0,2029.0,640.0,1546.0,199.0,21.0,-1.0736985206604004,0.6118144392967224,0.2790778577327728,-1.2824877500534058,0.7293401956558228,1.494435429573059,-0.18811099231243134,1.0731401443481445,-0.6118319034576416,-0.2792872488498688,1.2834824323654175,-0.729218065738678,-1.4939467906951904,0.18781433999538422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.2696733093261719,1.735214676570849e+18
2.0,0.0,0.0,-0.04599323016680513,0.7400851233678358,-0.6656689697436509,0.08392529814582275,-0.7401547062031333,0.04572179338028517,-0.08379548563081674,0.665626655929088,0.5892952376723951,0.3001421319168691,0.7820550746627729,0.5891594047033701,-0.30201111232999334,0.7819202003512533,2.0,-2.6631610446506076e-06,0.3839798857398139,-1.0736985206604004,0.6118144392967224,0.27902549505233765,-1.2824877500534058,0.7293052673339844,1.494435429573059,-0.18812845647335052,1.0731401443481445,-0.6118667721748352,-0.27932214736938477,1.283499836921692,-0.729218065738678,-1.493929386138916,0.18779690563678741,2.0,0.0,0.0,2.0,0.5235990830818403,0.2696733093261719,34.93333333333333,34.93333333333333,-0.04599323016680513,0.7400851233678358,-0.6656689697436509,0.08392529814582275,-0.7401547062031333,0.04572179338028517,-0.08379548563081674,0.665626655929088,0.5892952376723951,0.3001421319168691,0.7820550746627729,0.5891594047033701,-0.30201111232999334,0.7819202003512533,-2.6631610446506076e-06,0.3839798857398139,-1619.0,-590.0,-2546.0,-1044.0,-891.0,-515.0,0.0,1583.0,1013.0,2048.0,642.0,1547.0,196.0,22.0,-1.0736985206604004,0.6118144392967224,0.27902549505233765,-1.2824877500534058,0.7293052673339844,1.494435429573059,-0.18812845647335052,1.0731401443481445,-0.6118667721748352,-0.27932214736938477,1.283499836921692,-0.729218065738678,-1.493929386138916,0.18779690563678741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.2696733093261719,1.735214676604174e+18
3.0,0.0,0.0,-0.0459876761501042,0.7400869241738188,-0.6656681584119609,0.08391889647557482,-0.7401491959754055,0.04571876580974882,-0.08381116785675935,0.6656310166242865,0.5892922337527325,0.3001416413882157,0.7820542968380255,0.5891611681298237,-0.30201508804073207,0.7819285172455099,3.0,-2.6631610446506076e-06,0.3839798857398139,-1.0736985206604004,0.6118144392967224,0.27902549505233765,-1.2824877500534058,0.7293052673339844,1.4944528341293335,-0.18812845647335052,1.0731401443481445,-0.6118667721748352,-0.2792872488498688,1.283499836921692,-0.729218065738678,-1.493929386138916,0.18779690563678741,3.0,0.0,0.0,3.0,0.5235990830818403,0.2696733093261719,34.93333333333333,34.93333333333333,-0.0459876761501042,0.7400869241738188,-0.6656681584119609,0.08391889647557482,-0.7401491959754055,0.04571876580974882,-0.08381116785675935,0.6656310166242865,0.5892922337527325,0.3001416413882157,0.7820542968380255,0.5891611681298237,-0.30201508804073207,0.7819285172455099,-2.6631610446506076e-06,0.3839798857398139,-1621.0,-593.0,-2532.0,-1032.0,-895.0,-506.0,6.0,1580.0,1017.0,2042.0,666.0,1556.0,199.0,12.0,-1.0736985206604004,0.6118144392967224,0.27902549505233765,-1.2824877500534058,0.7293052673339844,1.4944528341293335,-0.18812845647335052,1.0731401443481445,-0.6118667721748352,-0.2792872488498688,1.283499836921692,-0.729218065738678,-1.493929386138916,0.18779690563678741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.2696733093261719,1.7352146766375e+18
4.0,0.0,0.0,-0.04600270997345357,0.7401093883544392,-0.6656394696805018,0.08394009976273138,-0.7401563653557973,0.045740179752631845,-0.08381383582883345,0.6656212374189624,0.5892953477230123,0.30016067227711263,0.7820561663041667,0.5891618440489761,-0.3020282426929194,0.7819294662152046,4.0,-2.6631610446506076e-06,0.3839798857398139,-1.0737159252166748,0.6117620468139648,0.27902549505233765,-1.2824703454971313,0.7293401956558228,1.4944528341293335,-0.18812845647335052,1.0731401443481445,-0.6118319034576416,-0.2792872488498688,1.2834824323654175,-0.729218065738678,-1.493929386138916,0.18781433999538422,4.0,0.0,0.0,4.0,0.5235990830818403,0.26967323303222657,34.93333333333333,34.93333333333333,-0.04600270997345357,0.7401093883544392,-0.6656394696805018,0.08394009976273138,-0.7401563653557973,0.045740179752631845,-0.08381383582883345,0.6656212374189624,0.5892953477230123,0.30016067227711263,0.7820561663041667,0.5891618440489761,-0.3020282426929194,0.7819294662152046,-2.6631610446506076e-06,0.3839798857398139,-1606.0,-591.0,-2541.0,-1013.0,-893.0,-508.0,0.0,1586.0,1012.0,2024.0,669.0,1549.0,190.0,15.0,-1.0737159252166748,0.6117620468139648,0.27902549505233765,-1.2824703454971313,0.7293401956558228,1.4944528341293335,-0.18812845647335052,1.0731401443481445,-0.6118319034576416,-0.2792872488498688,1.2834824323654175,-0.729218065738678,-1.493929386138916,0.18781433999538422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.26967323303222657,1.735214676670825e+18
5.0,0.0,0.0,-0.045979699594256365,0.7400845696590588,-0.6656696068501559,0.08393254132782495,-0.7401437536047218,0.045727546403068677,-0.08381819926945652,0.6656355797064147,0.5892931113338327,0.30014362777334913,0.7820583758319846,0.5891587922940517,-0.3020261042834055,0.7819411647172424,5.0,-2.6631610446506076e-06,0.3839798857398139,-1.0736985206604004,0.6118144392967224,0.27900806069374084,-1.2824877500534058,0.7293052673339844,1.4944528341293335,-0.18811099231243134,1.0731401443481445,-0.6118319034576416,-0.2792697846889496,1.283499836921692,-0.7291831374168396,-1.493929386138916,0.18781433999538422,5.0,0.0,0.0,5.0,0.5235990830818403,0.26967323303222657,34.93333333333333,34.93333333333333,-0.045979699594256365,0.7400845696590588,-0.6656696068501559,0.08393254132782495,-0.7401437536047218,0.045727546403068677,-0.08381819926945652,0.6656355797064147,0.5892931113338327,0.30014362777334913,0.7820583758319846,0.5891587922940517,-0.3020261042834055,0.7819411647172424,-2.6631610446506076e-06,0.3839798857398139,-1616.0,-586.0,-2555.0,-1031.0,-900.0,-511.0,0.0,1583.0,1022.0,2037.0,654.0,1543.0,194.0,13.0,-1.0736985206604004,0.6118144392967224,0.27900806069374084,-1.2824877500534058,0.7293052673339844,1.4944528341293335,-0.18811099231243134,1.0731401443481445,-0.6118319034576416,-0.2792697846889496,1.283499836921692,-0.7291831374168396,-1.493929386138916,0.18781433999538422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.26967323303222657,1.73521467670415e+18
6.0,0.0,0.0,-0.04600435960158755,0.740094971745871,-0.6656568129129151,0.08392877406912959,-0.7401431812405351,0.04571122005619503,-0.08383829945854335,0.6656348061572612,0.5892991690652374,0.3001462605550647,0.7820475383593604,0.5891689566833899,-0.302017566483926,0.7819448763089216,6.0,-2.6631610446506076e-06,0.3839798857398139,-1.0736985206604004,0.6118144392967224,0.27902549505233765,-1.2824703454971313,0.7293401956558228,1.494435429573059,-0.18812845647335052,1.0731749534606934,-0.6118667721748352,-0.2792697846889496,1.283499836921692,-0.729218065738678,-1.4939119815826416,0.18779690563678741,6.0,0.0,0.0,6.0,0.5235990830818403,0.2696733093261719,34.93333333333333,34.93333333333333,-0.04600435960158755,0.740094971745871,-0.6656568129129151,0.08392877406912959,-0.7401431812405351,0.04571122005619503,-0.08383829945854335,0.6656348061572612,0.5892991690652374,0.3001462605550647,0.7820475383593604,0.5891689566833899,-0.302017566483926,0.7819448763089216,-2.6631610446506076e-06,0.3839798857398139,-1618.0,-578.0,-2540.0,-1004.0,-898.0,-501.0,-3.0,1584.0,1012.0,2029.0,655.0,1548.0,193.0,16.0,-1.0736985206604004,0.6118144392967224,0.27902549505233765,-1.2824703454971313,0.7293401956558228,1.494435429573059,-0.18812845647335052,1.0731749534606934,-0.6118667721748352,-0.2792697846889496,1.283499836921692,-0.729218065738678,-1.4939119815826416,0.18779690563678741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.2696733093261719,1.735214676737475e+18
7.0,0.0,0.0,-0.04600718924394153,0.740103073446715,-0.6656488407264711,0.0839190088841858,-0.7401610281025436,0.045728927856491935,-0.0837902588192872,0.6656197939982547,0.5892913346661274,0.30015072036778356,0.7820364733394809,0.5891581514847264,-0.3020115563192775,0.7819113462964856,7.0,-2.6631610446506076e-06,0.3839798857398139,-1.073663592338562,0.611797034740448,0.27902549505233765,-1.2824703454971313,0.7293401956558228,1.4944528341293335,-0.18811099231243134,1.0731226205825806,-0.6118667721748352,-0.27932214736938477,1.283499836921692,-0.7292355298995972,-1.493929386138916,0.18779690563678741,7.0,0.0,0.0,7.0,0.5235990830818403,0.26967323303222657,34.93333333333333,34.93333333333333,-0.04600718924394153,0.740103073446715,-0.6656488407264711,0.0839190088841858,-0.7401610281025436,0.045728927856491935,-0.0837902588192872,0.6656197939982547,0.5892913346661274,0.30015072036778356,0.7820364733394809,0.5891581514847264,-0.3020115563192775,0.7819113462964856,-2.6631610446506076e-06,0.3839798857398139,-1603.0,-583.0,-2558.0,-1014.0,-894.0,-510.0,7.0,1590.0,1008.0,2038.0,670.0,1547.0,189.0,17.0,-1.073663592338562,0.611797034740448,0.27902549505233765,-1.2824703454971313,0.7293401956558228,1.4944528341293335,-0.18811099231243134,1.0731226205825806,-0.6118667721748352,-0.27932214736938477,1.283499836921692,-0.7292355298995972,-1.493929386138916,0.18779690563678741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.26967323303222657,1.7352146767708e+18
8.0,0.0,0.0,-0.046005645955352975,0.7400964129390974,-0.6656532027878792,0.08394399152500938,-0.7401570214790847,0.045736601378137086,-0.08381858760493899,0.665620155360023,0.5892969279047535,0.3001602746541816,0.7820630022516469,0.5891603730741769,-0.3020254916288113,0.7819259733779158,8.0,-2.6631610446506076e-06,0.3839798857398139,-1.0737159252166748,0.6117620468139648,0.27902549505233765,-1.2824703454971313,0.7293052673339844,1.494435429573059,-0.18812845647335052,1.0731226205825806,-0.6118319034576416,-0.2792872488498688,1.283499836921692,-0.729218065738678,-1.4939119815826416,0.18779690563678741,8.0,0.0,0.0,8.0,0.5235990830818403,0.26967323303222657,34.93333333333333,34.93333333333333,-0.046005645955352975,0.7400964129390974,-0.6656532027878792,0.08394399152500938,-0.7401570214790847,0.045736601378137086,-0.08381858760493899,0.665620155360023,0.5892969279047535,0.3001602746541816,0.7820630022516469,0.5891603730741769,-0.3020254916288113,0.7819259733779158,-2.6631610446506076e-06,0.3839798857398139,-1617.0,-584.0,-2546.0,-1005.0,-893.0,-510.0,5.0,1579.0,1015.0,2049.0,659.0,1551.0,195.0,8.0,-1.0737159252166748,0.6117620468139648,0.27902549505233765,-1.2824703454971313,0.7293052673339844,1.494435429573059,-0.18812845647335052,1.0731226205825806,-0.6118319034576416,-0.2792872488498688,1.283499836921692,-0.729218065738678,-1.4939119815826416,0.18779690563678741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.26967323303222657,1.735214676804124e+18
9.0,0.0,0.0,-0.04600304825388205,0.7400969098346982,-0.6656568252762358,0.0839123028384109,-0.7401459703184485,0.04571423408370264,-0.08382444363189126,0.665633242914826,0.5892941904501524,0.3001443572786917,0.7820423684684864,0.5891625266952675,-0.3020143043882338,0.7819349454192425,9.0,-2.6631610446506076e-06,0.3839798857398139,-1.0736985206604004,0.611797034740448,0.2790778577327728,-1.2824703454971313,0.7293052673339844,1.494435429573059,-0.18811099231243134,1.0731401443481445,-0.6118667721748352,-0.2792697846889496,1.2835173606872559,-0.729218065738678,-1.4939119815826416,0.18779690563678741,9.0,0.0,0.0,9.0,0.5235990830818403,0.2696733093261719,34.93333333333333,34.93333333333333,-0.04600304825388205,0.7400969098346982,-0.6656568252762358,0.0839123028384109,-0.7401459703184485,0.04571423408370264,-0.08382444363189126,0.665633242914826,0.5892941904501524,0.3001443572786917,0.7820423684684864,0.5891625266952675,-0.3020143043882338,0.7819349454192425,-2.6631610446506076e-06,0.3839798857398139,-1614.0,-582.0,-2541.0,-1000.0,-892.0,-509.0,12.0,1578.0,1008.0,2039.0,662.0,1551.0,193.0,28.0,-1.0736985206604004,0.611797034740448,0.2790778577327728,-1.2824703454971313,0.7293052673339844,1.494435429573059,-0.18811099231243134,1.0731401443481445,-0.6118667721748352,-0.2792697846889496,1.2835173606872559,-0.729218065738678,-1.4939119815826416,0.18779690563678741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4406958949272156,0.2696733093261719,1.735214676837449e+18
